pid,tid,picid,picgender,correctAns,memCond,congruency,response,sbjResp,sbjRT,sbjACC
4.0,20.0,37.0,male,y,old,incongruent,nogo,b,1436.6330596458283,1.0
4.0,21.0,67.0,female,y,old,incongruent,go,n,1336.5524631735752,0.0
4.0,22.0,99.0,female,n,new,,,n,1987.018836029165,1.0
4.0,23.0,83.0,female,y,old,congruent,go,m,1703.443008933391,0.0
4.0,24.0,77.0,female,y,old,incongruent,go,b,1803.5181719387765,1.0
4.0,25.0,32.0,male,y,old,incongruent,nogo,b,2120.4576189338695,1.0
4.0,26.0,35.0,male,n,new,,,n,1603.4137285678298,1.0
4.0,27.0,21.0,male,n,new,,,v,1069.6785196851124,0.0
4.0,28.0,17.0,male,y,old,congruent,nogo,v,1235.7099734363146,1.0
4.0,29.0,10.0,male,n,new,,,n,1503.2160106202355,1.0
4.0,30.0,48.0,male,y,old,congruent,nogo,b,1686.8054213991854,1.0
4.0,31.0,4.0,male,y,old,congruent,nogo,m,2003.6434436115087,0.0
4.0,32.0,46.0,male,y,old,incongruent,nogo,m,836.2086452543736,0.0
4.0,33.0,70.0,female,y,old,incongruent,go,b,1286.1609514584416,1.0
4.0,34.0,79.0,female,y,old,incongruent,go,b,1653.531755619042,1.0
4.0,35.0,33.0,male,n,new,,,n,1052.8552885807585,1.0
4.0,36.0,8.0,male,y,old,incongruent,nogo,m,1636.6061941516818,0.0
4.0,37.0,39.0,male,y,old,congruent,nogo,m,1503.1471866677748,0.0
4.0,38.0,68.0,female,y,old,congruent,go,n,1720.164211546944,0.0
4.0,39.0,14.0,male,y,old,incongruent,nogo,,,0.0
4.0,40.0,24.0,male,y,old,congruent,nogo,n,986.3133904873393,0.0
4.0,41.0,40.0,male,y,old,congruent,nogo,b,1569.8898212940549,1.0
4.0,42.0,88.0,female,n,new,,,b,1342.352390725864,0.0
4.0,43.0,65.0,female,n,new,,,v,1153.1891451304546,0.0
4.0,44.0,58.0,female,y,old,congruent,go,m,1236.636681962409,0.0
4.0,45.0,19.0,male,y,old,incongruent,nogo,v,2153.5332649145857,1.0
4.0,46.0,43.0,male,y,old,congruent,nogo,v,952.8749094388331,1.0
4.0,47.0,5.0,male,y,old,incongruent,nogo,v,2153.7083433941007,1.0
4.0,48.0,34.0,male,y,old,congruent,nogo,m,1436.4776020229328,0.0
4.0,49.0,60.0,female,y,old,incongruent,go,n,1319.9535136373015,0.0
4.0,50.0,53.0,female,y,old,congruent,go,v,1886.9750664089224,1.0
4.0,51.0,31.0,male,n,new,,,m,1183.7865249981405,1.0
4.0,52.0,0.0,male,n,new,,,m,981.9294856279157,1.0
4.0,53.0,20.0,male,y,old,incongruent,nogo,v,1770.2348466555122,1.0
